"title","url","originalContentPreview","originalContentLength","crawledContentPreview","crawledContentLength","contentLengthDiff","status"
"Información en español sobre la salud mental","https://www.nimh.nih.gov/health/topics/espanol","Esta página contiene enlaces a recursos del NIMH en español. También incluye enlaces a recursos en e...",2104,"Esta página contiene enlaces a recursos del NIMH en español. También incluye enlaces a recursos en e...",1695,-409,"Crawled"
"Anxiety Disorders","https://www.nimh.nih.gov/health/topics/anxiety-disorders","What is anxiety?
Where can I learn more about anxiety disorders?
Why is NIMH studying anxiety disord...",3871,"On this page
Feeling anxious is a normal part of life. Many people worry about things such as health...",2776,-1095,"Crawled"
"Attention-Deficit/Hyperactivity Disorder (ADHD)","https://www.nimh.nih.gov/health/topics/attention-deficit-hyperactivity-disorder-adhd","What is ADHD?
Where can I learn more about ADHD?
Why is NIMH studying ADHD?
How is NIMH research add...",4501,"On this page
ADHD is a developmental disorder characterized by an ongoing pattern of one or more of ...",3252,-1249,"Crawled"
"Autism Spectrum Disorder","https://www.nimh.nih.gov/health/topics/autism-spectrum-disorders-asd","What is autism spectrum disorder?
Where can I learn more about autism?
Why is NIMH studying autism?
...",4406,"On this page
Autism spectrum disorder is a neurological and developmental disorder that affects how ...",2730,-1676,"Crawled"
"Bipolar Disorder","https://www.nimh.nih.gov/health/topics/bipolar-disorder","What is bipolar disorder?
Where can I learn more about bipolar disorder?
Why is NIMH studying bipola...",3825,"On this page
Bipolar disorder (formerly called manic-depressive illness or manic depression) is a me...",2823,-1002,"Crawled"
"Borderline Personality Disorder","https://www.nimh.nih.gov/health/topics/borderline-personality-disorder","What is borderline personality disorder?
Where can I learn more about borderline personality disorde...",3485,"On this page
Borderline personality disorder is a mental illness that severely impacts a person’s ab...",2440,-1045,"Crawled"
"COVID-19 and Mental Health","https://www.nimh.nih.gov/health/topics/covid-19-and-mental-health","What is COVID-19?
Where can I learn more about COVID-19 and mental health?
Why is NIMH studying COVI...",3363,"On this page
COVID-19 is a disease caused by a virus named SARS-CoV-2. COVID-19 most often affects t...",2419,-944,"Crawled"
"Depression","https://www.nimh.nih.gov/health/topics/depression","What is depression?
Where can I learn more about depression?
Why is NIMH studying depression?
How is...",4368,"On this page
Everyone feels sad or low sometimes, but these feelings usually pass with time. Depress...",2607,-1761,"Crawled"
"Disruptive Mood Dysregulation Disorder (DMDD)","https://www.nimh.nih.gov/health/topics/disruptive-mood-dysregulation-disorder-dmdd","What is DMDD?
Where can I learn more about DMDD?
Why is NIMH studying DMDD?
How is NIMH research add...",2920,"On this page
DMDD is a mood disorder in which children and adolescents experience ongoing irritabili...",2332,-588,"Crawled"
"Eating Disorders","https://www.nimh.nih.gov/health/topics/eating-disorders","What are eating disorders?
Where can I learn more about eating disorders?
Why is NIMH studying eatin...",3339,"On this page
Eating disorders are serious illnesses marked by severe disturbances in a person’s eati...",2555,-784,"Crawled"
"HIV and Mental Health","https://www.nimh.nih.gov/health/topics/hiv-aids","What is HIV?
Where can I learn more about HIV and mental health?
Why is NIMH studying HIV and mental...",4345,"On this page
HIV, or human immunodeficiency virus, is the virus that causes AIDS (acquired immunodef...",2804,-1541,"Crawled"
"Obsessive-Compulsive Disorder (OCD)","https://www.nimh.nih.gov/health/topics/obsessive-compulsive-disorder-ocd","What is OCD?
Where can I learn more about OCD?
Why is NIMH studying OCD?
How is NIMH research addres...",2738,"On this page
Obsessive-compulsive disorder (OCD) is a disorder marked by uncontrollable and recurrin...",2223,-515,"Crawled"
"Schizophrenia","https://www.nimh.nih.gov/health/topics/schizophrenia","What is schizophrenia?
Where can I learn more about schizophrenia?
Why is NIMH studying schizophreni...",4424,"On this page
Schizophrenia is a serious mental illness that affects how a person thinks, feels, and ...",3558,-866,"Crawled"
"Suicide Prevention","https://www.nimh.nih.gov/health/topics/suicide-prevention","La información sobre prevención del suicidio también está disponible en español.

What is suicide?
W...",4575,"La información sobre prevención del suicidio también está disponible en español.
On this page
Suicid...",2622,-1953,"Crawled"
"Prevención del suicidio","https://www.nimh.nih.gov/health/topics/espanol/prevencion-del-suicidio","Information about suicide prevention is also available in English.

Para ayuda, llame o envíe un men...",18329,"Information about suicide prevention is also available in English.
Para ayuda, llame o envíe un mens...",7487,-10842,"Crawled"
"Traumatic Events and Post-Traumatic Stress Disorder (PTSD)","https://www.nimh.nih.gov/health/topics/post-traumatic-stress-disorder-ptsd","What is PTSD?
Where can I learn more about PTSD?
Why is NIMH studying PTSD?
How is NIMH research add...",4587,"On this page
People may have a range of reactions after experiencing or witnessing a traumatic event...",3407,-1180,"Crawled"
"Brain Stimulation Therapies","https://www.nimh.nih.gov/health/topics/brain-stimulation-therapies/brain-stimulation-therapies","Brain stimulation therapies can play an important role in treating mental disorders. These therapies...",26949,"Brain stimulation therapies can play an important role in treating mental disorders. These therapies...",20405,-6544,"Crawled"
"Caring for Your Mental Health","https://www.nimh.nih.gov/health/topics/caring-for-your-mental-health","Mental health includes emotional, psychological, and social well-being. It is more than the absence ...",5001,"Esta página también está disponible en español.

Mental health includes emotional, psychological, an...",2702,-2299,"Crawled"
"El cuidado de su salud mental","https://www.nimh.nih.gov/health/topics/espanol/el-cuidado-de-su-salud-mental/el-cuidado-de-su-salud-mental","La salud mental incluye el bienestar emocional, psicológico y social. Es más que la ausencia de una ...",5759,"This page is also available in English.
La salud mental incluye el bienestar emocional, psicológico ...",3007,-2752,"Crawled"
"Coping With Traumatic Events","https://www.nimh.nih.gov/health/topics/coping-with-traumatic-events","A traumatic event is a shocking, scary, or dangerous experience that can affect someone emotionally ...",7849,"A traumatic event is a shocking, scary, or dangerous experience that can affect someone emotionally ...",4372,-3477,"Crawled"
"Mental Health Medications","https://www.nimh.nih.gov/health/topics/mental-health-medications","Medications can play an important role in treating mental disorders and conditions. They are often u...",18220,"Medications can play an important role in treating mental disorders and conditions. They are often u...",13907,-4313,"Crawled"
"Psychotherapies","https://www.nimh.nih.gov/health/topics/psychotherapies","Psychotherapy (also called talk therapy) refers to a variety of treatments that aim to help a person...",12389,"Psychotherapy (also called talk therapy) refers to a variety of treatments that aim to help a person...",6299,-6090,"Crawled"
"Substance Use and Co-Occurring Mental Disorders","https://www.nimh.nih.gov/health/topics/substance-use-and-mental-health","Substance use disorder (SUD) is a treatable mental disorder that affects a person’s brain and behavi...",8186,"Substance use disorder (SUD) is a treatable mental disorder that affects a person’s brain and behavi...",4549,-3637,"Crawled"
"Technology and the Future of Mental Health Treatment","https://www.nimh.nih.gov/health/topics/technology-and-the-future-of-mental-health-treatment","Technology has opened a new frontier in mental health care and data collection. Mobile devices like ...",16318,"Technology has opened a new frontier in mental health care and data collection. Mobile devices like ...",9606,-6712,"Crawled"
"Child and Adolescent Mental Health","https://www.nimh.nih.gov/health/topics/child-and-adolescent-mental-health","Mental health is an important part of overall health for children as well as adults. For many adults...",8957,"Mental health is an important part of overall health for children as well as adults. For many adults...",4425,-4532,"Crawled"
"Men and Mental Health","https://www.nimh.nih.gov/health/topics/men-and-mental-health","Mental disorders affect men and women. The prevalence of several mental disorders is lower in men th...",6022,"Mental disorders affect men and women. The prevalence of several mental disorders is lower in men th...",3433,-2589,"Crawled"
"Older Adults and Mental Health","https://www.nimh.nih.gov/health/topics/older-adults-and-mental-health","As people age, they may experience certain life changes that impact their mental health, such as cop...",6315,"As people age, they may experience certain life changes that impact their mental health, such as cop...",3351,-2964,"Crawled"
"Women and Mental Health","https://www.nimh.nih.gov/health/topics/women-and-mental-health","Some mental disorders are more common in women than men, including depression, anxiety disorders, an...",6839,"Some mental disorders are more common in women than men, including depression, anxiety disorders, an...",3876,-2963,"Crawled"
