category,count,sample_titles
recipes,97,Recipes; Asparagus with Warm Tarragon-Pecan Vinaigrette; Asparagus Spears with Mandarin Orange; Braised Cabbage with Leeks and Sesame Seeds; Baby Arugula and Shaved Fennel with Lemon Garlic Vinaigrette ...
food-features,12,Food Features; Tea; Coffee; Rice; Quinoa ...
what-should-you-eat,10,What Should I Eat?; Whole Grains; Protein; Vegetables and Fruits; Fats and Cholesterol ...
healthy-weight,9,Body Fat; Healthy Weight; Healthy Dietary Styles; Diet Reviews; The Best Diet: Quality Counts ...
healthy-drinks,7,Healthy Drinks; Other Healthy Beverage Options; Drinks to Consume in Moderation; Sugary Drinks; Public Health Concerns: Sugary Drinks ...
disease-prevention,5,Disease Prevention; Heart Disease; Preventing Heart Disease; Diabetes; Simple Steps to Preventing Diabetes
elevate-your-plate,5,"Strategies to reduce red meat and elevate your plate; Prioritize hearty and savory plant-based preparations; Swap out red meat for healthier meats; Consume less meat, enjoy more variety; Eat a little less red meat, any way you can"
lancet-commission,5,EAT-Lancet Commission Brief for Cities; EAT-Lancet Commission Brief for Food Service Professionals; EAT-Lancet Commission Brief for Farmers; EAT-Lancet Commission Brief for Healthcare Professionals; EAT-Lancet Commission Brief for Everyone
carbohydrates,4,Carbohydrates; Carbohydrates and Blood Sugar; Fiber; Added Sugar
salt-and-sodium,3,Salt and Sodium; Take Action: How to Reduce Your Sodium Intake; Public Health Concerns: Salt and Sodium
sustainability,3,Sustainability; Food Waste; Plate and the Planet
wp-content,3,Download one here; ; downloadable version
content,3,Low carbohydrate-high protein diet and incidence of cardiovascular diseases in Swedish women: prospective cohort study; Long term effects of dietary sodium reduction on cardiovascular disease outcomes: observational follow-up of the trials of hypertension prevention (TOHP); Intersalt revisited: further analyses of 24 hour sodium excretion and blood pressure within and across populations
healthy-eating-plate,2,Healthy Eating Plate; Healthy Eating Plate Translations
staying-active,2,Staying Active; Active Communities
obesity,2,Preventing Obesity; Obesity
cancer,2,Preventing Cancer; Cancer
2014,2,The problem with potatoes; How to choose healthy fats
news,2,Substituting healthy plant proteins for red meat lowers risk for heart disease; News
2016,2,"Processed red meat related to higher risk of death, plant protein to lower risk; Eat Well & Keep Moving, 3rd Edition"
pmc,2,Major Dietary Protein Sources and the Risk of Coronary Heart Disease in Women; Dietary Protein Sources and the Risk of Stroke in Men and Women
nutrition-news,1,Nutrition News
kids-healthy-eating-plate,1,Kid’s Healthy Eating Plate
vitamins,1,Vitamins and Minerals
water,1,Water
sports-drinks,1,Sports Drinks
energy-drinks,1,Energy Drinks222
give,1,Harvard Online Giving Form
stress-and-health,1,Stress and Health
sleep,1,Sleep
healthy-longevity,1,Healthy Longevity
precision-nutrition,1,Precision Nutrition
oral-health,1,Oral Health
nutrition-and-immunity,1,Nutrition and Immunity
healthy-food-environment,1,Healthy Food Environment
healthy-child-care,1,Healthy Child Care Settings
healthy-schools,1,Healthy Schools
healthy-youth-spaces,1,Healthy Spaces for Youth
healthy-workplaces,1,Healthy Workplaces
healthy-health-care,1,Healthy Health Care
healthy-food-service,1,Food Service Resources
frequently-asked-questions,1,Frequently Asked Questions
milk,1,Milk
dairy,1,Dairy
fish,1,Fish: Friend or Foe?
legumes-pulses,1,Legumes and Pulses
cheese,1,Cheese
nuts-for-the-heart,1,Nuts for the Heart
2012,1,Ask the Expert: Healthy Fats
kids-healthy-lunchbox-guide,1,Packing a Healthy Lunchbox
healthy-eating-plate-vs-usda-myplate,1,Healthy Eating Plate vs. USDA’s MyPlate
