removedCount,totalCount,remainingCount
0,31,31
0,54,54
0,22,22
0,7,7
0,20,20
0,157,157
0,116,116
0,184,184
0,79,79
0,210,210
0,67,67
0,67,67
0,234,234
0,20,20
0,106,106
0,30,30
0,29,29
1,81,77
0,159,159
0,32,32
0,74,74
0,99,99
0,99,99
0,40,40
1,54,51
0,46,46
0,134,134
0,95,95
0,76,76
0,81,81
0,82,82
1,73,68
0,110,110
0,50,50
0,77,77
0,85,85
0,53,53
0,78,78
0,214,214
0,31,31
0,81,81
0,210,210
0,108,108
0,16,16
0,67,67
0,73,73
0,100,100
0,76,76
0,70,70
0,62,62
0,84,84
0,59,59
0,116,116
0,87,87
0,127,127
0,109,109
0,61,61
1,84,75
0,29,29
0,27,27
0,53,53
0,27,27
0,30,30
0,67,67
0,33,33
0,106,106
0,110,110
0,65,65
0,136,136
0,48,48
0,19,19
0,87,87
1,109,101
0,122,122
0,39,39
0,0,0
0,76,76
0,49,49
0,93,93
0,172,172
0,72,72
0,154,154
0,0,0
0,51,51
0,0,0
0,30,30
0,0,0
1,24,21
0,12,12
1,105,102
0,97,97
0,83,83
0,45,45
0,69,69
0,76,76
0,100,100
0,81,81
0,62,62
0,66,66
0,73,73
0,108,108
0,85,85
0,95,95
0,74,74
0,56,56
1,98,95
0,54,54
0,94,94
0,71,71
0,49,49
0,75,75
0,53,53
0,88,88
0,62,62
0,84,84
0,63,63
0,88,88
0,128,128
0,51,51
0,74,74
0,97,97
0,69,69
0,110,110
0,36,36
1,49,45
0,102,102
0,34,34
0,74,74
0,11,11
0,23,23
0,45,45
0,38,38
0,22,22
0,45,45
0,43,43
0,90,90
0,293,293
0,438,438
0,97,97
0,187,187
0,323,323
0,25,25
0,32,32
0,49,49
0,45,45
0,29,29
0,15,15
0,18,18
0,13,13
0,34,34
0,48,48
0,17,17
0,23,23
0,18,18
0,33,33
0,28,28
0,27,27
0,13,13
0,41,41
0,20,20
0,20,20
0,14,14
0,21,21
0,16,16
0,19,19
0,32,32
0,19,19
0,29,29
0,22,22
0,14,14
0,20,20
0,16,16
0,14,14
0,20,20
0,14,14
0,15,15
0,16,16
0,21,21
0,31,31
0,13,13
0,26,26
0,14,14
0,16,16
0,12,12
0,17,17
0,16,16
0,13,13
0,18,18
0,20,20
0,54,54
0,17,17
0,19,19
0,13,13
0,22,22
0,20,20
0,27,27
0,22,22
0,25,25
0,41,41
0,20,20
0,16,16
0,13,13
0,30,30
0,35,35
0,32,32
0,26,26
0,29,29
0,16,16
0,37,37
0,17,17
0,28,28
0,23,23
0,18,18
0,15,15
0,19,19
0,13,13
0,17,17
0,29,29
0,14,14
0,39,39
0,34,34
0,21,21
0,51,51
0,20,20
0,15,15
0,15,15
0,18,18
0,28,28
0,14,14
0,15,15
0,20,20
0,17,17
0,15,15
0,11,11
0,22,22
0,13,13
0,18,18
0,27,27
0,12,12
0,30,30
0,20,20
0,20,20
0,28,28
0,18,18
0,33,33
0,12,12
0,23,23
0,19,19
0,33,33
0,32,32
0,22,22
0,28,28
0,14,14
0,16,16
0,15,15
0,21,21
0,18,18
0,40,40
0,13,13
0,23,23
0,17,17
0,26,26
0,14,14
0,23,23
0,26,26
0,16,16
0,32,32
0,13,13
0,23,23
0,32,32
0,17,17
0,16,16
0,31,31
0,19,19
0,18,18
0,27,27
0,13,13
0,37,37
0,9,9
0,64,64
0,72,72
0,22,22
0,18,18
0,32,32
0,41,41
0,67,67
0,439,439
0,574,574
0,387,387
0,308,308
0,43,43
0,56,56
0,53,53
0,49,49
0,43,43
0,72,72
0,1,1
